3.5x5,60,6x6,95,9x9,140,12x12,215,15x15,300,18x18,375
3x6,63,6x7,100,9x10,147,12x13,228,15x16,315,18x19,398
3x7,66,6x8,105,9x11,154,12x14,242,15x17,331,18x20,424
3x8,69,6x9,110,9x12,162,12x15,256,15x18,347,18x21,447
3x9,73,6x10,116,9x13,170,12x16,265,15x19,365,18x22,473
3x10,77,6x11,122,9x14,179,12x17,281,15x20,383,18x23,520
3x11,80,6x12,128,9x15,188,12x18,295,15x21,402,18x24,532
3x12,84,6x13,134,9x16,197,12x19,310,15x22,422,18x25,564
3x13,89,6x14,141,9x17,207,12x20,325,15x23,443,18x26,598
3x14,93,6x15,148,9x18,217,12x21,341,15x24,465,18x27,634
3x15,98,6x16,155,9x19,228,12x22,359,15x25,489,18x28,672
3x16,85,6x17,165,9x20,239,12x23,377,15x26,513,18x29,712
4x4,75,7x7,115,10x10,180,13x13,230,16x16,320,19x19,395
4x5,80,7x8,121,10x11,187,13x14,342,16x17,336,19x20,415
4x6,85,7x9,127,10x12,195,13x15,354,16x18,353,19x21,435
4x7,89,7x10,133,10x13,201,13x16,266,16x19,370,19x22,457
4x8,94,7x11,140,10x14,207,13x17,280,16x20,395,19x23,480
4x9,98,7x12,147,10x15,213,13x18,294,16x21,415,19x24,504
4x10,103,7x13,154,10x16,219,13x19,308,16x22,435,19x25,529
4x11,108,7x14,162,10x17,226,13x20,324,16x23,457,19x26,556
4x12,114,7x15,170,10x18,233,13x21,340,16x24,480,19x27,584
4x13,120,7x16,178,10x19,240,13x22,357,16x25,504,19x28,613
4x14,126,7x17,187,10x20,247,13x23,375,16x26,529,19x29,643
4x15,115,7x18,199,10x21,254,13x24,393,16x27,556,19x30,676
5x5,85,8x8,125,11x11,195,14x14,265,17x17,345,20x20,415
5x6,89,8x9,130,11x12,205,14x15,276,17x18,362,20x21,436
5x7,95,8x10,135,11x13,215,14x16,287,17x19,380,20x22,458
5x8,100,8x11,148,11x14,226,14x17,298,17x20,399,20x23,485
5x9,105,8x12,155,11x15,237,14x18,310,17x21,419,20x24,495
5x10,110,8x13,163,11x16,249,14x19,322,17x22,440,20x25,520
5x11,115,8x14,171,11x17,261,14x20,335,17x23,462,20x26,546
5x12,121,8x15,179,11x18,274,14x21,349,17x24,485,20x27,573
5x13,127,8x16,188,11x19,288,14x22,363,17x25,510,20x28,602
5x14,134,8x17,198,11x20,303,14x23,377,17x26,535,20x29,632
5x15,140,8x18,208,11x21,318,14x24,392,17x27,562,20x30,650
5x16,147,8x19,218,11x22,334,14x25,408,17x28,590,,